ds;dt;P;V
2019-01-19 13:00;446;1.9219;6.5
2019-01-19 14:00;447;1.5055;6.4
2019-01-19 15:00;448;1.1372;5.6
2019-01-19 16:00;449;0.7036;5.1
2019-01-19 17:00;450;0.1478;3.6
2019-01-19 18:00;451;0.0429;3.3
2019-01-19 19:00;452;0.231;3.1
2019-01-19 20:00;453;0.3993;4.1
2019-01-19 21:00;454;0.2534;3.8
2019-01-19 22:00;455;0.2666;3.3
2019-01-19 23:00;456;0.227;4
2019-01-20 00:00;457;0.2132;3.6
2019-01-20 01:00;458;0.2198;3.1
2019-01-20 02:00;459;0.1089;3.3
2019-01-20 03:00;460;0.4732;3
2019-01-20 04:00;461;0.6521;4.7
2019-01-20 05:00;462;0.955;4.6
2019-01-20 06:00;463;1.7609;5.5
2019-01-20 07:00;464;2.2156;6.6
2019-01-20 08:00;465;2.0559;6.7
2019-01-20 09:00;466;2.6314;6.9
2019-01-20 10:00;467;2.5397;7.2
2019-01-20 11:00;468;0.8844;6.1
2019-01-20 12:00;469;0.0304;1.7
2019-01-20 13:00;470;0.3584;3.1
2019-01-20 14:00;471;0.9167;4.8
2019-01-20 15:00;472;1.4797;7
2019-01-20 16:00;473;0.2013;4.4
2019-01-20 17:00;474;0;1.7
2019-01-20 18:00;475;0.0924;2.7
2019-01-20 19:00;476;0.3142;3.9
2019-01-20 20:00;477;0.359;3
2019-01-20 21:00;478;0.4719;4.4
2019-01-20 22:00;479;0.6996;4.7
2019-01-20 23:00;480;0.5412;5
2019-01-21 00:00;481;0.4244;4.2
2019-01-21 01:00;482;0.3333;3.6
2019-01-21 02:00;483;0.2482;3.9
2019-01-21 03:00;484;0.8705;3.7
2019-01-21 04:00;485;3.3647;8.7
2019-01-21 05:00;486;0.7537;4.4
2019-01-21 06:00;487;1.7226;7.2
2019-01-21 07:00;488;1.5345;7.1
2019-01-21 08:00;489;1.0355;5.7
2019-01-21 09:00;490;0.825;4.4
2019-01-21 10:00;491;0.9049;5
2019-01-21 11:00;492;0.6963;4.6
2019-01-21 12:00;493;0.7194;3.9
2019-01-21 13:00;494;0.9293;5
2019-01-21 14:00;495;0.7379;5.1
2019-01-21 15:00;496;0.5511;3.8
2019-01-21 16:00;497;0.5782;4.1
2019-01-21 17:00;498;0.1115;4.2
2019-01-21 18:00;499;0.1294;2.5
2019-01-21 19:00;500;0.2759;3.1
2019-01-21 20:00;501;0.5254;3.8
2019-01-21 21:00;502;0.7036;4.8
2019-01-21 22:00;503;0.7425;5.3
2019-01-21 23:00;504;0.6607;0
2019-01-22 00:00;505;0.6765;4.4
2019-01-22 01:00;506;0.4699;4.5
2019-01-22 02:00;507;0.1247;3.1
2019-01-22 03:00;508;0.1729;3.3
2019-01-22 04:00;509;0.3425;2.7
2019-01-22 05:00;510;0.6184;4.4
2019-01-22 06:00;511;1.3952;4.7
2019-01-22 07:00;512;1.6025;6.3
2019-01-22 08:00;513;1.5814;6.3
2019-01-22 09:00;514;2.0156;6.5
2019-01-22 10:00;515;1.5338;6.3
2019-01-22 11:00;516;1.0969;5.5
2019-01-22 12:00;517;0.9755;5.1
2019-01-22 13:00;518;1.2949;5.5
2019-01-22 14:00;519;1.2256;4.7
2019-01-22 15:00;520;0.7775;4.1
2019-01-22 16:00;521;0.5353;4.9
2019-01-22 17:00;522;0.1749;2.9
2019-01-22 18:00;523;0.5023;3.5
2019-01-22 19:00;524;0.59;4.9
2019-01-22 20:00;525;0.6052;4.1
2019-01-22 21:00;526;0.6468;4.1
2019-01-22 22:00;527;0.5023;4.4
2019-01-22 23:00;528;1.0091;4.6
2019-01-23 00:00;529;1.3794;6
2019-01-23 01:00;530;1.1873;5.6
2019-01-23 02:00;531;1.5292;6
2019-01-23 03:00;532;2.3509;5.3
2019-01-23 04:00;533;0.7339;4.8
2019-01-23 05:00;534;1.6454;6.2
2019-01-23 06:00;535;2.2308;6.7
2019-01-23 07:00;536;4.1224;8.4
2019-01-23 08:00;537;0.2831;6.9
2019-01-23 09:00;538;0.0205;3
2019-01-23 10:00;539;0;2.1
2019-01-23 11:00;540;0;2.1
2019-01-23 12:00;541;0;2
2019-01-23 13:00;542;0;2.5
2019-01-23 14:00;543;0.0396;2.1
2019-01-23 15:00;544;0;2.1
2019-01-23 16:00;545;0;1.8
2019-01-23 17:00;546;0.0191;2.4
2019-01-23 18:00;547;0.0033;2.4
2019-01-23 19:00;548;0.097;1.9
2019-01-23 20:00;549;0.2924;5.9
2019-01-23 21:00;550;0.5353;3
2019-01-23 22:00;551;0.6673;4.2
2019-01-23 23:00;552;0.8864;5.1
2019-01-24 00:00;553;1.0296;5.2
2019-01-24 01:00;554;1.0435;5.4
2019-01-24 02:00;555;0.427;5.1
