i;P;dt
0;0;1225
0;0;1226
0;0;1227
0;0;1228
0;0;1229
0;0;1230
0;0;1231
13;0.0760;1232
42;1.5370;1233
278;2.6070;1234
483;3.3630;1235
650;3.9370;1236
759;4.2390;1237
798;4.2210;1238
744;3.8900;1239
690;3.2860;1240
512;2.4120;1241
270;1.1790;1242
100;0.0690;1243
1;0;1244
0;0;1245
0;0;1246
0;0;1247
0;0;1248
0;0;1249
0;0;1250
0;0;1251
0;0;1252
0;0;1253
0;0;1254
0;0;1255
1;0.1090;1256
77;1.4400;1257
278;2.6610;1258
483;3.4660;1259
651;3.9580;1260
764;4.1750;1261
811;4.1320;1262
777;3.8340;1263
684;3.2410;1264
533;2.3320;1265
329;1.1350;1266
96;0.0730;1267
1;0;1268
0;0;1269
0;0;1270
0;0;1271
0;0;1272
1;0;1273
1;0;1274
0;0;1275
0;0;1276
0;0;1277
0;0;1278
0;0;1279
1;0.1290;1280
84;1.5900;1281
291;2.7780;1282
488;3.6380;1283
656;4.1730;1284
772;4.4190;1285
828;4.4000;1286
807;4.1110;1287
712;3.5290;1288
556;2.6060;1289
353;1.3350;1290
133;0.1070;1291
3;0;1292
0;0;1293
0;0;1294
0;0;1295
0;0;1296
0;0;1297
0;0;1298
0;0;1299
0;0;1300
0;0;1301
0;0;1302
0;0;1303
1;0.1600;1304
92;1.7010;1305
302;2.8930;1306
512;3.7200;1307
681;4.2170;1308
796;4.4370;1309
846;4.3790;1310
821;4.0060;1311
681;3.2430;1312
520;2.3860;1313
318;1.2920;1314
110;0.0970;1315
4;0;1316
0;0;1317
0;0;1318
0;0;1319
0;0;1320
0;0;1321
0;0;1322
0;0;1323
0;0;1324
0;0;1325
0;0;1326
0;0;1327
1;0.1390;1328
89;1.5510;1329
298;2.7390;1330
508;3.5720;1331
680;4.0580;1332
794;4.2600;1333
840;4.2010;1334
812;3.8960;1335
688;3.2060;1336
511;1.8070;1337
277;0.7520;1338
104;0.0540;1339
3;0;1340
0;0;1341
0;0;1342
0;0;1343
0;0;1344
0;0;1345
0;0;1346
0;0;1347
0;0;1348
0;0;1349
0;0;1350
0;0;1351
1;0.0760;1352
82;1.2210;1353
303;2.6450;1354
509;3.4540;1355
678;3.9400;1356
819;4.1620;1357
838;4.1250;1358
810;3.8330;1359
715;3.2630;1360
558;2.4010;1361
354;1.2400;1362
137;0.0810;1363
4;0;1364
0;0;1365
0;0;1366
0;0;1367
0;0;1368
0;0;1369
0;0;1370
0;0;1371
0;0;1372
0;0;1373
0;0;1374
0;0;1375
1;0.0450;1376
54;0.3970;1377
140;0.6780;1378
284;0.9370;1379
524;1.0650;1380
528;1.2500;1381
370;1.2810;1382
210;1.0600;1383
419;0.8760;1384
371;0.8060;1385
219;0.5010;1386
89;0.0570;1387
4;0;1388
0;0;1389
0;0;1390
0;0;1391
0;0;1392
0;0;1393
0;0;1394
0;0;1395
0;0;1396
0;0;1397
0;0;1398
0;0;1399
2;0.1600;1400
100;1.4850;1401
331;2.6170;1402
389;3.3940;1403
561;3.8650;1404
